,date,map_name,player_one_race,player_two_race,player_one,player_two,game_length,winner_name,p_one_winner
3491,2020-06-25,Deathaura LE,Terran,Terran,soul,Serral,17.49,Serral,0
3492,2020-06-26,Ever Dream LE,Protoss,Protoss,TLHarstem,ShaDoWn,08.09,ShaDoWn,0
3493,2020-06-26,Deathaura LE,Protoss,Protoss,TLHarstem,ShaDoWn,12.05,TLHarstem,1
3494,2020-06-26,Ice and Chrome LE,Protoss,Protoss,TLHarstem,ShaDoWn,20.31,TLHarstem,1
3495,2020-06-24,Подводный мир РВ,,,Arctur,Kas,12.05,Kas,0
3496,2020-06-24,Вечная империя РВ,,,Arctur,Kas,08.06,Arctur,1
3497,2020-06-24,Помечтай РВ,,,Arctur,Kas,08.57,Arctur,1
3498,2020-07-01,Ever Dream LE,Zerg,Zerg,Denver,BlyOnFire,06.20,BlyOnFire,0
3499,2020-07-01,Deathaura LE,Zerg,Zerg,Denver,BlyOnFire,13.42,Denver,1
3500,2020-07-01,Ice and Chrome LE,Zerg,Zerg,Denver,BlyOnFire,09.35,Denver,1
3501,2020-06-26,Ever Dream LE,Zerg,Zerg,BlyOnFire,Kas,16.25,BlyOnFire,1
3502,2020-06-27,Ever Dream LE,Terran,Terran,HeroMarine,BratOK,04.12,BratOK,0
3503,2020-06-27,Eternal Empire LE,Terran,Terran,HeroMarine,BratOK,14.21,BratOK,0
3504,2020-07-04,Submarine LE,Protoss,Protoss,DnS,goblin,10.58,goblin,0
3505,2020-07-04,Ever Dream LE,Protoss,Protoss,DnS,goblin,13.13,DnS,1
3506,2020-07-04,Eternal Empire LE,Protoss,Protoss,goblin,DnS,04.42,DnS,0
3507,2020-07-03,Golden Wall LE,Zerg,Zerg,SortOf,DnS,05.10,DnS,0
3508,2020-07-03,Ice and Chrome LE,Protoss,Protoss,DnS,SortOf,43.56,SortOf,0
3509,2020-06-25,Ever Dream LE,Zerg,Zerg,Lambo,GOStephano,05.40,GOStephano,0
3510,2020-06-25,Deathaura LE,Zerg,Zerg,GOStephano,Lambo,08.03,GOStephano,1
3511,2020-06-27,Pillars of Gold LE,Zerg,Zerg,Lambo,HellraiseR,08.33,Lambo,1
3512,2020-06-27,Ever Dream LE,Protoss,Protoss,HellraiseR,Lambo,12.38,Lambo,0
3513,2020-07-03,Submarine LE,Zerg,Zerg,Reynor,LiquidMaNa,11.23,Reynor,1
3514,2020-07-03,Ever Dream LE,Protoss,Protoss,LiquidMaNa,Reynor,08.38,LiquidMaNa,1
3515,2020-07-03,Eternal Empire LE,Zerg,Zerg,Reynor,LiquidMaNa,16.37,Reynor,1
3516,2020-07-01,Eternal Empire LE,Protoss,Protoss,LiquidMaNa,Vanya,10.38,LiquidMaNa,1
